geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;16:29:10.193;42029.68692353009;30.3405188;60.074272;39;gps;11;0;1;1.342
geo;16:29:10.459;42029.686926608796;30.3405189;60.0742731;39;gps;10;0;1;1.608
geo;16:29:11.443;42029.686937997685;30.3405163;60.074275;39;gps;10;0;1;2.592
geo;16:29:12.448;42029.68694962963;30.3405162;60.0742752;39;gps;9;0;1;3.597
geo;16:29:13.438;42029.686961087966;30.3405157;60.074275;39;gps;9;0;1;4.587
geo;16:29:17.431;42029.68700730324;30.340515;60.0742743;39;gps;9;0;1;8.58
geo;16:29:18.453;42029.68701913195;30.3405149;60.0742742;39;gps;8;0;1;9.602
geo;16:29:19.457;42029.68703075231;30.3405131;60.0742762;39;gps;8;24;1.118;10.724
geo;16:29:20.464;42029.68704240741;30.3404648;60.0742796;41;gps;9;307.7;1.803;12.54
geo;16:29:21.407;42029.68705332176;30.3405184;60.0742935;40;gps;9;25.5;2.693;15.082
geo;16:29:22.426;42029.68706511574;30.34056;60.0743623;42;gps;8;18.2;6.083;21.275
geo;16:29:23.464;42029.68707712963;30.3406014;60.0744529;42;gps;7;18.5;8.31;29.901
geo;16:29:24.466;42029.68708872685;30.3406769;60.0745362;45;gps;7;20.4;10.05;39.971
geo;16:29:25.476;42029.68710041667;30.3407682;60.0746215;44;gps;6;20.7;11.543;51.629
geo;16:29:26.435;42029.68711151621;30.340872;60.074724;44;gps;6;21.2;13.288;64.372
geo;16:29:27.422;42029.68712293982;30.3409644;60.0748419;44;gps;5;21.6;14.534;78.717
geo;16:29:28.446;42029.68713479167;30.3410488;60.0749823;43;gps;5;22.1;15.033;94.111
geo;16:29:29.455;42029.68714646991;30.3411891;60.0751002;45;gps;4;22.1;15.033;109.279
geo;16:29:30.492;42029.687158472225;30.341305;60.0752338;45;gps;4;22.5;15.033;124.869
geo;16:29:31.424;42029.687169259254;30.3413832;60.0753606;45;gps;5;22.5;14.534;138.414
geo;16:29:33.473;42029.68719297454;30.3415674;60.0755757;46;gps;4;22.3;12.54;164.109
geo;16:29:34.425;42029.68720399306;30.3416385;60.0756612;46;gps;3;21.9;10.796;174.387
geo;16:29:35.400;42029.68721527778;30.3416966;60.0757339;47;gps;3;21.7;9.055;183.215
geo;16:29:36.424;42029.68722712963;30.3417475;60.0758101;46;gps;3;21.4;8.807;192.234
geo;16:29:37.409;42029.687238530096;30.3417857;60.0758749;47;gps;4;14.1;8.062;200.175
geo;16:29:38.415;42029.68725017361;30.341779;60.0759378;47;gps;4;0;7.071;207.288
geo;16:29:39.387;42029.68726142361;30.3417371;60.0759941;47;gps;4;344.4;6.576;213.68
