geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;18:45:11.484;42486.78138291667;127.3651341;36.3695638;0;network;99.352;0;0;0
geo;18:45:15.794;42486.781432800926;127.3651956;36.3693137;89;gps;19;242.3;4.75;20.477
geo;18:45:16.776;42486.78144416667;127.3651317;36.36922;76;gps;17;234.8;6;26.363
geo;18:45:17.777;42486.781455752316;127.3648436;36.3690607;-15.999;gps;24;179.6;6.25;32.62
geo;18:45:18.789;42486.78146746528;127.3646715;36.3691677;-15.999;gps;26;233.4;5.75;38.439
geo;18:45:19.791;42486.7814790625;127.3646392;36.369124;-15.999;gps;29;238.6;6.75;45.202
geo;18:45:20.788;42486.78149060185;127.364706;36.3690136;-15.999;gps;33;226.7;6.5;51.683
geo;18:45:21.885;42486.78150329861;127.3645777;36.3689762;-15.999;gps;20;229.1;7.5;59.91
geo;18:45:22.788;42486.78151375;127.3647461;36.3690386;66;gps;10;222.8;7.5;66.683
geo;18:45:23.825;42486.78152575232;127.3647712;36.369144;102;gps;22;222.2;8.25;75.238
geo;18:45:24.791;42486.781536932875;127.3646587;36.3688965;99;gps;30;220.7;5.75;80.792
geo;18:45:25.783;42486.78154841435;127.364449;36.3688413;102;gps;30;236.9;8.75;89.472
geo;18:45:26.822;42486.78156043982;127.3639984;36.3684894;30;gps;15;0;0;89.472
geo;18:45:29.493;42486.78159135417;127.3639713;36.3686335;30;gps;19;1.2;4;100.156
geo;18:45:30.438;42486.78160229167;127.3640584;36.3686876;32;gps;15;32.8;4.25;104.173
geo;18:45:31.437;42486.78161385417;127.364079;36.3686704;33;gps;14;64.4;1.5;105.671
geo;18:45:32.449;42486.781625567135;127.3641226;36.3686486;34;gps;14;97.7;1.75;107.442
geo;18:45:32.908;42486.78163087963;127.3649502;36.3696469;0;network;136.062;0;0;107.442
geo;18:45:33.439;42486.78163702546;127.3641091;36.3685621;36;gps;13;171.9;4.75;109.964
geo;18:45:34.460;42486.78164884259;127.364102;36.3685341;37;gps;14;175.1;4.75;114.814
geo;18:45:35.442;42486.78166020833;127.3641622;36.3684559;36;gps;12;158.3;7.25;121.933
geo;18:45:36.456;42486.781671944445;127.3642085;36.368385;37;gps;12;154.6;7.75;129.792
geo;18:45:37.489;42486.781683900466;127.3642709;36.3683207;36;gps;12;149;8.5;138.573
geo;18:45:38.482;42486.78169539352;127.3642881;36.3682372;38;gps;13;152.1;8.75;147.261
geo;18:45:39.510;42486.781707291666;127.3643795;36.3681542;39;gps;12;148.9;9.75;157.284
geo;18:45:40.459;42486.781718275466;127.3644308;36.3680888;39;gps;12;148.4;9.75;166.537
geo;18:45:41.457;42486.78172982638;127.3644712;36.3680178;40;gps;14;150.8;9.25;175.769
