geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;17:38:21.103;42486.73496646991;127.3651727;36.3692292;79;gps;10;19.4;0.25;1.01
geo;17:38:22.106;42486.734978078704;127.3651817;36.369235;70;gps;7;19.4;0.25;1.261
geo;17:38:23.104;42486.73498962963;127.3651803;36.369242;72;gps;4;19.4;0.5;1.76
geo;17:38:24.101;42486.735001168985;127.3651806;36.3692523;73;gps;3;19.4;0.5;2.258
geo;17:38:25.103;42486.73501276621;127.3651956;36.3692717;70;gps;3;37.2;1.75;4.012
geo;17:38:26.118;42486.73502451389;127.3652068;36.3692836;70;gps;5;37.2;1.75;5.788
geo;17:38:27.105;42486.7350359375;127.3652454;36.3693081;71;gps;5;53;3;8.749
geo;17:38:28.104;42486.7350475;127.3652946;36.3693311;71;gps;5;58.4;4.25;12.995
geo;17:38:29.101;42486.73505903935;127.3653616;36.3693642;71;gps;3;59;5.75;18.728
geo;17:38:30.109;42486.73507070602;127.3654585;36.36942;71;gps;4;56.8;6.5;25.28
geo;17:38:31.117;42486.73508237269;127.3655249;36.369456;72;gps;4;56.9;7;32.336
geo;17:38:32.107;42486.73509383102;127.3655923;36.3694953;72;gps;4;56.7;7.5;39.761
geo;17:38:33.105;42486.735105381944;127.3656685;36.3695279;71;gps;6;57.5;7.75;47.495
geo;17:38:34.187;42486.73511790509;127.3657452;36.3695635;71;gps;6;57.5;8;56.151
geo;17:38:35.181;42486.73512940972;127.3658117;36.3696023;71;gps;6;57.2;8.25;64.352
geo;17:38:35.401;42486.73513195602;127.3652979;36.3693782;0;network;78.361;0;0;64.352
geo;17:38:36.108;42486.73514013889;127.3658919;36.3696468;71;gps;4;58.2;8.5;70.361
geo;17:38:37.245;42486.73515329861;127.3659701;36.3696833;71;gps;4;59.2;8.25;79.741
geo;17:38:38.117;42486.735163391204;127.3660505;36.3697177;71;gps;5;57.9;8.25;86.935
geo;17:38:39.114;42486.73517493055;127.366115;36.3697639;72;gps;6;51;7.5;94.413
geo;17:38:40.103;42486.735186377315;127.3661621;36.369809;72;gps;4;42.6;6.5;100.841
geo;17:38:41.126;42486.73519821759;127.3662024;36.3698513;71;gps;5;37.8;5.5;106.468
geo;17:38:42.110;42486.735209606486;127.3662248;36.3698993;70;gps;5;29.9;5;111.388
geo;17:38:43.105;42486.73522112268;127.3662394;36.3699283;69;gps;6;24.1;4.75;116.114
geo;17:38:44.104;42486.73523268518;127.3662022;36.3699763;69;gps;3;349.4;5.25;121.359
geo;17:38:45.100;42486.73524421296;127.3661746;36.370019;69;gps;3;337.8;5.5;126.837
geo;17:38:46.101;42486.735255798616;127.366139;36.3700728;70;gps;4;329.9;6.25;133.093
geo;17:38:47.103;42486.73526739584;127.3661029;36.3701364;70;gps;3;327.5;7;140.107
geo;17:38:48.098;42486.735278912034;127.3660486;36.3702028;71;gps;3;327.2;7.5;147.569
geo;17:38:49.105;42486.73529056713;127.366008;36.3702588;70;gps;3;327.2;7.5;155.122
geo;17:38:50.100;42486.73530208333;127.3659549;36.3703163;71;gps;3;326.9;7.75;162.833
geo;17:38:51.103;42486.73531369213;127.3658961;36.3703882;71;gps;3;327;8.75;171.609
geo;17:38:52.104;42486.73532527778;127.3658357;36.3704605;72;gps;3;327;9.5;181.119
geo;17:38:53.105;42486.73533686342;127.3657706;36.3705369;70;gps;4;327.3;10.5;191.629
geo;17:38:54.109;42486.735348483795;127.3657096;36.3706179;71;gps;4;326.2;11;202.674
geo;17:38:55.111;42486.73536008102;127.3656331;36.3707012;72;gps;5;325.3;11.5;214.196
geo;17:38:55.580;42486.73536550926;127.3655692;36.3704683;0;network;160.531;0;0;214.196
geo;17:38:56.104;42486.735371574076;127.3655571;36.3707878;72;gps;4;326.6;12;220.484
geo;17:38:57.110;42486.735383217594;127.365481;36.3708791;71;gps;4;326.4;11.75;232.305
geo;17:38:58.107;42486.73539475694;127.3654167;36.3709656;71;gps;6;328.2;11.5;243.77
geo;17:38:59.114;42486.73540641204;127.3653472;36.3710417;71;gps;7;326.4;10.75;254.596
geo;17:39:01.423;42486.73543313658;127.3652135;36.3711362;71;gps;8;314.4;8;273.068
geo;17:39:02.114;42486.73544113426;127.3651403;36.3711586;71;gps;9;299.3;7.75;278.423
geo;17:39:03.107;42486.73545262731;127.3650593;36.3711508;71;gps;6;276.3;7.25;285.622
geo;17:39:04.126;42486.7354644213;127.3649778;36.3711459;71;gps;7;263.7;7.75;293.52
geo;17:39:05.111;42486.735475821755;127.3648892;36.3711204;71;gps;6;251.6;8.25;301.646
geo;17:39:06.112;42486.73548740741;127.3648103;36.3710991;71;gps;8;254.9;7.5;309.153
geo;17:39:07.112;42486.73549898148;127.3647424;36.3710922;71;gps;10;260.6;6.5;315.653
geo;17:39:08.118;42486.735510625;127.364667;36.3710299;72;gps;9;242.9;7.25;322.947
geo;17:39:09.116;42486.73552217592;127.3646025;36.3709867;71;gps;9;237.7;7.25;330.182
geo;17:39:10.117;42486.73553376157;127.3645466;36.3709725;70;gps;7;243.9;6.25;336.439
geo;17:39:11.124;42486.73554541667;127.364484;36.3709291;70;gps;6;236.8;6.25;342.732
geo;17:39:12.115;42486.735556886575;127.3644231;36.3708994;70;gps;8;239.1;6;348.678
geo;17:39:13.114;42486.735568449076;127.3643727;36.3708857;69;gps;10;241.5;5.5;354.173
geo;17:39:14.103;42486.73557989583;127.364334;36.3708593;68;gps;7;238.6;5.75;359.86
geo;17:39:15.108;42486.73559152777;127.364269;36.3708286;68;gps;8;246.5;6.25;366.141
geo;17:39:15.408;42486.735595;127.3655246;36.3705865;0;network;201.617;0;0;366.141
geo;17:39:16.118;42486.73560321759;127.3641861;36.3708124;68;gps;8;256;7.25;371.288
geo;17:39:17.109;42486.735614687495;127.3640937;36.3707969;69;gps;7;258.8;8.25;379.464
geo;17:39:18.113;42486.73562630787;127.3640029;36.3707777;70;gps;9;257.4;8.25;387.747
geo;17:39:19.114;42486.73563789352;127.363906;36.370756;71;gps;10;256.8;8.5;396.256
geo;17:39:20.118;42486.73564951389;127.3638059;36.3707459;70;gps;11;259.7;8.75;405.041
geo;17:39:21.116;42486.73566106481;127.3636974;36.3707362;70;gps;12;262.3;9;414.023
geo;17:39:22.113;42486.73567260416;127.3635992;36.3707254;70;gps;10;264.9;9.5;423.494
geo;17:39:23.114;42486.735684189814;127.3634818;36.3707219;69;gps;8;268.2;10;433.504
geo;17:39:24.105;42486.73569565972;127.3633734;36.3707171;70;gps;7;271.4;9.75;443.166
geo;17:39:25.109;42486.735707280095;127.3632591;36.3707314;71;gps;8;272.8;9.75;452.955
geo;17:39:26.108;42486.735718842596;127.3631586;36.370723;70;gps;9;272;9;461.946
geo;17:39:27.106;42486.73573039351;127.3630745;36.3707299;70;gps;9;274.5;8.25;470.18
geo;17:39:28.105;42486.735741956014;127.3630007;36.370726;70;gps;10;275.1;7.5;477.672
geo;17:39:29.109;42486.73575357639;127.3629531;36.3707338;70;gps;10;282;5.5;483.194
geo;17:39:30.105;42486.73576510417;127.362861;36.3707507;70;gps;9;282.6;6.75;489.917
geo;17:39:31.106;42486.73577668981;127.3627768;36.3707531;71;gps;11;276.8;7;496.924
geo;17:39:32.104;42486.73578824074;127.362713;36.3707703;71;gps;14;278.3;6.75;503.661
geo;17:39:33.105;42486.73579982639;127.3626205;36.3707782;72;gps;8;274.3;7.75;511.419
geo;17:39:34.107;42486.73581142361;127.3625116;36.3707676;74;gps;7;257.3;7.75;519.184
geo;17:39:35.230;42486.735824421296;127.3624305;36.3707376;77;gps;7;246;7.5;527.607
geo;17:39:35.475;42486.73582725694;127.3626688;36.3706729;0;network;133.077;0;0;527.607
geo;17:39:36.146;42486.73583502315;127.3623755;36.370708;76;gps;5;236.8;7.25;532.471
geo;17:39:37.202;42486.73584724537;127.3623069;36.3706787;77;gps;5;236.4;7;539.863
geo;17:39:38.105;42486.73585769676;127.3622558;36.370643;76;gps;4;237;6;545.281
geo;17:39:39.110;42486.7358693287;127.3622094;36.3706112;77;gps;5;236.2;5.25;550.558
geo;17:39:40.102;42486.735880810185;127.3621677;36.3705841;77;gps;6;235.5;5.25;555.766
geo;17:39:41.118;42486.73589256944;127.3621191;36.3705492;78;gps;6;235.4;5.75;561.608
geo;17:39:42.118;42486.73590414352;127.3620556;36.3705153;77;gps;6;236.6;6.5;568.108
geo;17:39:43.122;42486.735915763886;127.3619682;36.3704845;79;gps;4;236.5;8;576.14
geo;17:39:44.118;42486.735927291666;127.3619009;36.3704487;79;gps;3;236.3;8.25;584.357
geo;17:39:45.113;42486.73593880787;127.3618254;36.3704118;79;gps;3;236.4;8;592.317
geo;17:39:46.103;42486.7359502662;127.3617469;36.3703677;80;gps;4;236.7;8.25;600.484
geo;17:39:47.103;42486.73596184028;127.3616502;36.3703266;77;gps;3;236.5;8.75;609.234
geo;17:39:48.103;42486.735973414354;127.3615681;36.3702793;77;gps;3;236.6;9;618.234
geo;17:39:49.100;42486.7359849537;127.3614805;36.3702337;77;gps;4;236.7;9.5;627.706
geo;17:39:50.103;42486.7359965625;127.3613941;36.3701903;77;gps;4;236.4;9.5;637.234
geo;17:39:51.108;42486.73600819445;127.361303;36.3701463;78;gps;3;236;9.5;646.782
geo;17:39:52.105;42486.7360197338;127.3612112;36.3700963;78;gps;3;236.1;9.75;656.502
geo;17:39:53.105;42486.73603130787;127.3611226;36.3700476;78;gps;4;236.2;9.5;666.002
geo;17:39:54.102;42486.736042847224;127.3610292;36.3700007;78;gps;3;236;9.25;675.225
geo;17:39:55.110;42486.73605451389;127.3609518;36.369959;78;gps;4;236.5;8.5;683.793
geo;17:39:56.127;42486.73606628472;127.3608877;36.3699255;77;gps;4;236.9;7;690.912
geo;17:39:56.628;42486.73607208334;127.3624895;36.3706527;0;network;51.986;0;0;690.912
geo;17:39:57.106;42486.736077615744;127.3608338;36.3699015;78;gps;5;242.8;6;693.78
geo;17:39:58.105;42486.736089178245;127.3607807;36.3699156;77;gps;5;273.1;5;698.775
geo;17:39:59.116;42486.73610087963;127.360722;36.3699466;76;gps;5;299.8;5.5;704.335
geo;17:40:00.115;42486.73611244213;127.3606706;36.369988;76;gps;4;312.7;6.5;710.829
geo;17:40:01.118;42486.73612405093;127.3606173;36.370036;76;gps;4;317.7;7.5;718.351
geo;17:40:02.111;42486.73613554398;127.3605523;36.3700906;77;gps;3;318.7;8.25;726.543
geo;17:40:03.110;42486.73614710648;127.3604939;36.3701511;77;gps;4;317.3;8.25;734.785
geo;17:40:04.105;42486.73615862268;127.3604242;36.370208;78;gps;3;316.1;8.75;743.491
geo;17:40:05.118;42486.73617034723;127.3603495;36.3702673;78;gps;3;315.1;9;752.608
geo;17:40:06.121;42486.73618195602;127.3602732;36.3703256;78;gps;5;314.5;9.5;762.137
geo;17:40:07.247;42486.73619498842;127.36018;36.3703884;78;gps;4;313.2;10.25;773.678
geo;17:40:08.108;42486.736204953704;127.3600937;36.370453;78;gps;4;312.4;10.5;782.719
geo;17:40:09.106;42486.73621650463;127.3599981;36.3705159;78;gps;4;311.5;10.5;793.198
geo;17:40:10.112;42486.73622814815;127.3599127;36.370575;78;gps;4;310;10.5;803.761
geo;17:40:11.107;42486.73623966435;127.3598179;36.3706372;78;gps;4;309.4;10.5;814.208
geo;17:40:12.109;42486.73625126157;127.359728;36.3706946;79;gps;6;309.5;10.5;824.729
geo;17:40:13.110;42486.73626284722;127.3596253;36.3707596;79;gps;7;308.8;11;835.74
geo;17:40:14.116;42486.736274490744;127.3595133;36.3708256;79;gps;8;307.9;11.75;847.561
geo;17:40:15.113;42486.73628603009;127.3593985;36.3709061;79;gps;6;308.7;12;859.525
geo;17:40:16.106;42486.73629752315;127.3592975;36.3709662;79;gps;6;307.7;11.5;870.944
geo;17:40:16.552;42486.73630268518;127.3613463;36.3696664;0;network;144.239;0;0;870.944
geo;17:40:17.110;42486.73630914352;127.3592161;36.3710105;80;gps;5;305.9;10;876.524
geo;17:40:18.119;42486.73632082176;127.3591413;36.3710555;82;gps;5;304.6;9.5;886.11
geo;17:40:19.114;42486.73633233796;127.3590473;36.3711073;82;gps;4;303.2;9.5;895.562
geo;17:40:20.112;42486.736343888886;127.3589518;36.3711534;81;gps;4;301.8;10.25;905.792
geo;17:40:21.114;42486.73635548611;127.358851;36.3712026;82;gps;4;299.6;10.75;916.563
geo;17:40:22.112;42486.73636703704;127.3587565;36.3712547;80;gps;4;297;10.75;927.292
geo;17:40:23.110;42486.736378587964;127.3586434;36.3712946;80;gps;5;296.3;10.5;937.771
geo;17:40:24.109;42486.73639015046;127.3585378;36.3713298;79;gps;5;294.8;9.75;947.511
geo;17:40:25.109;42486.73640172454;127.3584509;36.3713613;78;gps;5;294.2;9;956.511
geo;17:40:26.107;42486.73641327546;127.358359;36.3713877;78;gps;5;292.2;8.75;965.244
geo;17:40:27.111;42486.73642489583;127.3582683;36.3714177;78;gps;6;291.8;9.25;974.531
geo;17:40:28.113;42486.736436493054;127.3581521;36.3714461;76;gps;4;290.2;10.25;984.801
geo;17:40:29.112;42486.736448055555;127.3580465;36.3714767;74;gps;3;288.7;11;995.79
geo;17:40:30.108;42486.736459583335;127.3579324;36.3715053;74;gps;5;287.7;11;1006.746
geo;17:40:31.108;42486.736471157405;127.3578249;36.3715336;74;gps;5;287;10.5;1017.246
geo;17:40:32.110;42486.736482754626;127.3577256;36.3715606;74;gps;5;287.1;9.75;1027.016
geo;17:40:33.113;42486.73649436343;127.3576252;36.3715724;73;gps;5;285.9;9.25;1036.293
geo;17:40:34.106;42486.73650585648;127.3575309;36.3715971;73;gps;5;288.3;8.75;1044.982
geo;17:40:35.124;42486.736517638885;127.3574806;36.371631;72;gps;3;293.6;7.5;1052.617
geo;17:40:36.104;42486.73652898148;127.3574121;36.3716599;74;gps;3;296.1;7;1059.477
geo;17:40:36.469;42486.736533206014;127.3574665;36.371694;0;network;95.463;0;0;1059.477
geo;17:40:37.114;42486.73654067129;127.357364;36.3716903;74;gps;4;298.4;6.75;1063.831
geo;17:40:38.120;42486.73655231482;127.357306;36.37172;73;gps;3;298.9;6;1069.867
geo;17:40:39.131;42486.7365640162;127.357259;36.3717442;73;gps;3;299.5;4.75;1074.669
geo;17:40:40.109;42486.73657533565;127.3572222;36.3717641;73;gps;3;297.5;3.5;1078.092
geo;17:40:41.107;42486.736586886575;127.3571958;36.3717664;73;gps;3;286.9;3;1081.086
geo;17:40:42.190;42486.736599421296;127.3571795;36.371772;73;gps;3;282.4;1.25;1082.44
geo;17:40:43.120;42486.73661018518;127.3571562;36.371777;74;gps;3;271.8;1.25;1083.602
geo;17:40:44.118;42486.73662173611;127.3571245;36.371771;74;gps;3;250.5;2.75;1086.347
geo;17:40:45.124;42486.73663337963;127.3570848;36.3717501;75;gps;3;232.4;4.25;1090.622
geo;17:40:46.122;42486.736644930555;127.357045;36.371721;75;gps;3;224.7;5.5;1096.111
geo;17:40:47.118;42486.736656458335;127.3569912;36.3716741;75;gps;3;224.3;6.75;1102.834
geo;17:40:48.126;42486.736668125;127.356917;36.3716284;75;gps;3;232.1;7.75;1110.646
geo;17:40:49.124;42486.73667967593;127.3568396;36.371592;75;gps;5;242.4;8.25;1118.88
geo;17:40:50.123;42486.73669123843;127.3567422;36.371563;74;gps;3;249;9.25;1128.121
geo;17:40:51.114;42486.73670270834;127.356638;36.3715359;74;gps;4;252;9.5;1137.535
geo;17:40:52.113;42486.73671427083;127.3565355;36.3715145;74;gps;4;255.8;9.5;1147.026
geo;17:40:53.125;42486.73672598379;127.3564374;36.3714981;74;gps;5;257;9;1156.134
geo;17:40:54.113;42486.73673741898;127.3563509;36.3714845;74;gps;5;258.9;8;1164.038
geo;17:40:55.103;42486.736748877316;127.3562622;36.3714833;74;gps;4;265.8;8;1171.966
geo;17:40:56.120;42486.73676064815;127.3561543;36.3714696;74;gps;4;269.4;8.25;1180.348
geo;17:40:56.481;42486.73676482639;127.3562722;36.3714323;0;network;151.504;0;0;1180.348
geo;17:40:57.112;42486.73677212963;127.3560614;36.3714685;74;gps;4;271;8.25;1185.553
geo;17:40:58.108;42486.73678365741;127.3559761;36.3714687;73;gps;4;271.5;7.75;1193.272
geo;17:40:59.112;42486.73679527778;127.3558928;36.3714707;73;gps;5;271.2;7.5;1200.802
geo;17:41:00.116;42486.736806898145;127.3557994;36.3714753;73;gps;5;270.8;7.75;1208.583
geo;17:41:01.111;42486.736818414356;127.3557104;36.3714692;73;gps;4;269.9;8.25;1216.792
geo;17:41:02.116;42486.7368300463;127.3556256;36.3714668;73;gps;4;269.5;8.25;1225.083
geo;17:41:03.113;42486.73684158565;127.3555294;36.3714633;74;gps;4;270.4;8.25;1233.309
geo;17:41:04.109;42486.73685311343;127.3554325;36.371468;74;gps;4;270.5;8;1241.277
geo;17:41:05.203;42486.73686577546;127.3553462;36.3714686;73;gps;3;269.5;7.25;1249.208
geo;17:41:06.169;42486.73687695602;127.3552999;36.3714621;73;gps;5;263.3;6.5;1255.487
geo;17:41:07.110;42486.73688784722;127.3552486;36.3714335;73;gps;5;241.4;6;1261.133
geo;17:41:08.122;42486.73689956019;127.3552327;36.3713956;73;gps;5;216.9;5.5;1266.699
geo;17:41:09.115;42486.736911053245;127.3552085;36.3713295;73;gps;3;195.2;6.75;1273.402
